bc/entropy,bc/samples_so_far,bc/batch,batch_size,bc/l2_loss,bc/loss,bc/epoch,bc/neglogp,bc/ent_loss,bc/l2_norm,bc/prob_true_act,rollout/return_mean,rollout/return_min,rollout/return_max,rollout/return_std
0.693146824836731,16,0,16,0.0,0.6925784349441528,0,0.6932715773582458,-0.000693146837875247,76.5000991821289,0.4999379813671112,,,,
0.5994139909744263,8016,500,16,0.0,0.5060795545578003,0,0.5066789388656616,-0.000599413993768394,77.39095306396484,0.6340121626853943,,,,
0.6080964207649231,16016,1000,16,0.0,0.6729584336280823,0,0.6735665202140808,-0.0006080964230932295,77.20880889892578,0.5516456365585327,,,,
0.6077538132667542,24016,1500,16,0.0,0.7196307182312012,0,0.720238447189331,-0.0006077538710087538,77.29216766357422,0.5294412970542908,,,,
0.6223263740539551,32016,2000,16,0.0,0.5686269402503967,0,0.5692492723464966,-0.000622326391749084,77.02523040771484,0.5942389369010925,,,,
0.6237633228302002,40016,2500,16,0.0,0.47897961735725403,0,0.4796033799648285,-0.0006237633642740548,76.83796691894531,0.6365329623222351,,,,
0.6336146593093872,48016,3000,16,0.0,0.6183657646179199,0,0.6189993619918823,-0.0006336146616376936,76.65650177001953,0.5652328729629517,,,,
0.5986517071723938,56016,3500,16,0.0,0.6770635843276978,0,0.6776622533798218,-0.0005986517644487321,76.91822814941406,0.5543860197067261,,,,
0.6382158994674683,64016,4000,16,0.0,0.8000829815864563,0,0.8007211685180664,-0.0006382159190252423,76.36402130126953,0.475975900888443,,,,
0.6337199211120605,72016,4500,16,0.0,0.5780746936798096,0,0.5787084102630615,-0.0006337199592962861,76.3998794555664,0.5846659541130066,,,,
0.6198086738586426,80016,5000,16,0.0,0.5700647830963135,0,0.5706846117973328,-0.0006198086775839329,76.2208251953125,0.5948356986045837,,,,
0.6384016275405884,88016,5500,16,0.0,0.5391046404838562,0,0.5397430658340454,-0.0006384016596712172,75.85990905761719,0.6013224720954895,,,,
0.6084662675857544,16,0,16,0.0,0.35222071409225464,0,0.3528291881084442,-0.0006084662745706737,76.0912094116211,0.7027199268341064,2894.7332300117473,2807.9379671625793,2947.377723244019,46.761483490055234
0.0045443931594491005,8016,500,16,0.0,0.0005280827172100544,3,0.0005326271057128906,-4.544393505057087e-06,84.55831909179688,0.9994674921035767,4171.678285665065,4150.960843052715,4188.627276688814,12.527348222446204
0.003421128960326314,16,0,16,0.0,0.0003829212801065296,0,0.0003863424062728882,-3.421129122216371e-06,84.91102600097656,0.9996137022972107,4182.589614354074,4158.054549455643,4192.5272766798735,12.855707131252533
0.00183094444219023,8016,500,16,0.0,0.0001897383772302419,1,0.00019156932830810547,-1.8309444840269862e-06,85.64685821533203,0.9998084306716919,4171.333810137212,4153.846057847142,4190.345458507538,12.546891926206873
0.0011697186855599284,16016,1000,16,0.0,0.00011508914030855522,3,0.00011625885963439941,-1.1697187574100099e-06,86.15908813476562,0.9998837113380432,4172.152731251716,4152.263640344143,4190.345458507538,13.723435209668668
